epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,617.035,1.16662,1.52119,1.45116,0.73595,0.59909,0.66863,0.41444,1.43747,1.47552,1.68185,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1186.51,1.26467,1.5062,1.5186,0.75946,0.55652,0.622,0.3701,1.50969,1.47287,1.76478,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961
3,1743.59,1.37646,1.72821,1.61156,0.66784,0.47074,0.53468,0.30629,1.56953,1.78832,1.85407,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095
4,2295.15,1.38475,1.73344,1.62083,0.71622,0.60032,0.64914,0.39886,1.44482,1.4539,1.75053,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2843.76,1.2795,1.53529,1.53841,0.79573,0.61125,0.70919,0.45815,1.3611,1.2732,1.66248,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3396.94,1.20599,1.40532,1.48345,0.77557,0.64083,0.70565,0.4737,1.3012,1.2143,1.60195,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3949.45,1.15286,1.30615,1.44012,0.84264,0.6827,0.76884,0.53159,1.24161,1.07447,1.54747,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4501.85,1.11831,1.25077,1.40961,0.85842,0.68605,0.78713,0.5516,1.21935,1.03909,1.51462,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5053.19,1.08513,1.17132,1.37926,0.86104,0.69674,0.79435,0.56728,1.17691,0.96802,1.46573,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5607.75,1.0625,1.13976,1.36327,0.85301,0.73242,0.81316,0.58251,1.147,0.92158,1.43487,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6161.35,1.03047,1.08543,1.34076,0.8315,0.73363,0.81445,0.58845,1.17011,0.91566,1.45955,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6712.6,1.02437,1.063,1.32887,0.87451,0.7268,0.81897,0.59501,1.14485,0.89043,1.42389,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7266.9,1.00247,1.03521,1.31372,0.8491,0.73739,0.83111,0.60746,1.13167,0.86018,1.40662,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7820.8,0.98439,1.00553,1.30149,0.85588,0.75119,0.8356,0.61078,1.12111,0.851,1.40324,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8373.47,0.97277,0.9845,1.29244,0.87149,0.74558,0.84691,0.62016,1.11386,0.82106,1.3968,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8926.8,0.95598,0.96201,1.27944,0.87766,0.76397,0.84958,0.62175,1.10403,0.78815,1.38553,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9478.34,0.95038,0.9515,1.28136,0.87176,0.77273,0.85784,0.63705,1.0734,0.778,1.35563,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,10029.9,0.94443,0.93348,1.27244,0.89294,0.75744,0.85932,0.63685,1.08469,0.79235,1.3579,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10583.6,0.93845,0.91658,1.26436,0.89016,0.76541,0.85699,0.63987,1.06613,0.75551,1.35527,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,11132.4,0.92074,0.88745,1.25431,0.86882,0.78176,0.85668,0.64025,1.06984,0.76326,1.3486,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,11685.7,0.91063,0.87757,1.24486,0.88154,0.78679,0.8646,0.64493,1.05324,0.73892,1.32743,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,12237.2,0.89841,0.85829,1.23872,0.87828,0.78996,0.86296,0.65031,1.04176,0.74003,1.32211,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,12790.9,0.89767,0.85916,1.2342,0.86956,0.79953,0.86576,0.65179,1.04443,0.71265,1.31816,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,13343.8,0.88678,0.84796,1.22902,0.88585,0.78586,0.86846,0.65907,1.03128,0.71609,1.31404,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,13894.4,0.88678,0.83462,1.22607,0.88598,0.79185,0.87651,0.6672,1.03596,0.70234,1.31307,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,14448.6,0.87652,0.82637,1.21906,0.87351,0.80698,0.87355,0.66338,1.02083,0.69786,1.29849,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,15000.3,0.86829,0.80852,1.21442,0.87494,0.80475,0.87432,0.66854,1.01659,0.68294,1.29498,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,15555.4,0.86228,0.7977,1.20729,0.89325,0.80174,0.88058,0.67325,1.01521,0.67396,1.29304,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,16113.8,0.8564,0.78541,1.20448,0.88495,0.80586,0.87923,0.67377,1.00916,0.67371,1.28313,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,16667.7,0.84852,0.78084,1.20289,0.88434,0.81135,0.87896,0.67338,1.01291,0.66972,1.28749,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,17226.2,0.84519,0.77048,1.19523,0.88549,0.80849,0.87691,0.67179,1.01601,0.66624,1.2913,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,17779,0.83692,0.76834,1.19259,0.87966,0.81326,0.87824,0.67513,1.01285,0.66195,1.28804,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
